filename,transcription
01SSD1M_egg,æŋk
01SSD1M_square,ɡoʊɪŋɑp
01SSD1M_school,ʌʃkɪ
04SSD2M_yellow,noʊɾoʊ
03SSD1F_gown,dʒaʊn
01SSD1M_ear,jæ
04SSD2M_zebra,sɛbʌ
03SSD1F_fishing,sɛn
03SSD1F_goo,ɡɪt
01SSD1M_there,soʊ
01SSD1M_peaking,bikɪnd
cleft_21M_a_tool,ɑtɪl
03SSD1F_pig,peɪt
03SSD1F_feather,sʌ
03SSD1F_watch,wʌs
03SSD1F_ing,ɛn
01SSD1M_pingpong,pŋɔŋk
03SSD1F_giraffe,ɡoʊæ
02SSD1M_rab,ɡæp
03SSD1F_keep,titt
01SSD1M_orange,ɔʌŋʃ
03SSD1F_rye,waɪ
cleft_28F_a_tip,aɪæ
03SSD1F_luggage,nɑtðæt
02SSD1M_three,ʃi
03SSD1F_bird,bʌtɛ
cleft_21M_a_tip,ʌtsæʔ
04SSD2M_telly,djæ
04SSD2M_ear,iɑ
03SSD1F_square,ʃæ
03SSD1F_school,sɪlt
04SSD2M_rye,laɪ
02SSD1M_berry,bæeɪt
cleft_28F_a_shack,ʌʃɑk
cleft_21M_a_cup,ɑkɑlp
04SSD2M_sheep,d
03SSD1F_helicopter,hitɔttʌ
04SSD2M_leg,æt
01SSD1M_giraffe,kjuæsʌ
03SSD1F_orange,oʊɛdbts
03SSD1F_dagger,ɡɛttʌ
04SSD2M_that,sʌt
02SSD1M_rate,ʃeɪt
02SSD1M_ring,ʃŋ
01SSD1M_string,stuɪŋ
04SSD2M_pig,bæŋk
04SSD2M_queen,ki
04SSD2M_teeth,d
04SSD2M_jam,tɑm
01SSD1M_Katie_grows_cucumbers,keɪtikʌʌskɪkʌmʌz
03SSD1F_thicker,sɛʔn̩tʌt
02SSD1M_chair,tʃaɪlt
01SSD1M_class,ɡʌlæs
03SSD1F_giddy,tɪdit
04SSD2M_elephant,æzɑt
04SSD2M_oar,ɔ
02SSD1M_poor,tuʌ
01SSD1M_scissors,ʃizʌʃ
04SSD2M_thankyou,fʌŋk
02SSD1M_roar,ʌ
01SSD1M_tar,kɔ
03SSD1F_tigger,tɪdʒʌ
04SSD2M_bird,bɑt
03SSD1F_date,kʔʔt
04SSD2M_iri,iɑɾi
cleft_16M_a_shock,ʌʃʌlt
04SSD2M_thumb,sɔ
cleft_28F_a_sip,ʌ
03SSD1F_thanks,s
02SSD1M_ear,jæ
02SSD1M_rye,dʒɑ
04SSD2M_TV,it
01SSD1M_apple,ɑθ
04SSD2M_television,dʌɪtʌfæt
03SSD1F_gut,t
04SSD2M_sausage,tkɔsjɛs
01SSD1M_rink,ðŋk
02SSD1M_eerie,iʒi
04SSD2M_umbrella,æbʌ
03SSD1F_coot,kɪ
02SSD1M_arrow,ɑkʃʌd
03SSD1F_splash,uʌ
04SSD2M_biscuit,bɛsɛt
04SSD2M_glove,ɡɔ
04SSD2M_human,humæt
04SSD2M_splash,spɑs
04SSD2M_three,i
03SSD1F_gloves,kʌ
01SSD1M_on_their_bikes,oʊʌnædbæŋkst
04SSD2M_pop,bɔlp
02SSD1M_carry,kɑʒeɪ
03SSD1F_kitchen,sɛn
01SSD1M_chicken_curry,tʃɪkɪnkʌli
02SSD1M_feather,fætʌ
04SSD2M_fishing,ɛsn
03SSD1F_thigh,aɪ
04SSD2M_feather,s
04SSD2M_yellow2,jænoʊ
03SSD1F_rocker,wʌkʌ
01SSD1M_crab,ʌm
04SSD2M_crab,kɑ
03SSD1F_teeth,ti
03SSD1F_shy,wʌseɪ
04SSD2M_frog,sɔk
03SSD1F_fish,soʊ
03SSD1F_digger,tɪdɡʌ
01SSD1M_sheep,ʃibʌs
cleft_28F_a_sore,ðæsʌwʌʔ
04SSD2M_door,d
03SSD1F_tiger,teɪktʌ
01SSD1M_bread,æt
01SSD1M_helicopter,hfɛlʔtʌ
cleft_16M_two,tu
04SSD2M_van,n
02SSD1M_dray,ɡɹeɪt
cleft_28F_a_shoot,aɪʃʊd
01SSD1M_rocker,wɔkʌp
04SSD2M_eel,i
04SSD2M_strawberries,stʌlb
cleft_28F_a_sock,ʌʃoʊlk
03SSD1F_ghost,dus
cleft_21M_a_sea,ʌsi
cleft_16M_a_cheer,ʌki
04SSD2M_orange,ɔɹænt
03SSD1F_water,wʌtʌhæf
01SSD1M_girls,ɡɑz
04SSD2M_aga,ʌkʌ
04SSD2M_peep,bi
03SSD1F_that_one,ðæʔwʌaɪk
03SSD1F_snake,sk
04SSD2M_ara,ɑ
04SSD2M_rabbit,wɑbʌt
03SSD1F_zebra,sæpʌ
03SSD1F_butterfly,bʌʔdʌseɪd
03SSD1F_tore,toʊlkulʌ
01SSD1M_car,kɔ
03SSD1F_crab,tuæf
03SSD1F_queen,tʃuŋ
03SSD1F_thy,ɹɛ
cleft_16M_a_she,ʌhi
03SSD1F_yucky,jɛppis
04SSD2M_fish,fɛ
03SSD1F_umbrella,ɑmðʌlʌ
03SSD1F_frog,fɔt
04SSD2M_ala,ʌ
03SSD1F_zoo,si
04SSD2M_train,k
03SSD1F_swing,ʌʃuŋ
04SSD2M_diamond_ring,tmaɪnðeɪ
03SSD1F_sheep,si
03SSD1F_packer,bʌtʌ
03SSD1F_gore,tʌ
02SSD1M_girl,ɡoʊʃʌl
04SSD2M_pep,bɛt
01SSD1M_sixteen,ætstind
cleft_21M_a_core,ʌkɔɹ
04SSD2M_toothbrush,tubɑs
03SSD1F_tactic,t
03SSD1F_buggy,bʌti
04SSD2M_asha,ʌsʌ
04SSD2M_car,kʌ
04SSD2M_ojo,oʊtoʊ
